site_id,cell_id,lon,lat
s136,34774,28.7436,-19.55125
s136,35319,28.7436,-19.55125
s136,35314,28.7436,-19.55125
s136,35315,28.7436,-19.55125
s136,35316,28.7436,-19.55125
s136,35317,28.7436,-19.55125
s136,35310,28.7436,-19.55125
s136,35311,28.7436,-19.55125
s136,35312,28.7436,-19.55125
s137,20811,30.62569,-20.84421
s137,20812,30.62569,-20.84421
s137,20813,30.62569,-20.84421
s137,20814,30.62569,-20.84421
s138,20801,30.611539999999998,-20.97543
s138,20802,30.611539999999998,-20.97543
s138,20803,30.611539999999998,-20.97543
s138,20804,30.611539999999998,-20.97543
s139,20661,28.78067,-19.51184
s139,20662,28.78067,-19.51184
s139,20663,28.78067,-19.51184
s139,34211,28.78067,-19.51184
s139,34216,28.78067,-19.51184
s139,34210,28.78067,-19.51184
s139,34212,28.78067,-19.51184
s139,34217,28.78067,-19.51184
s139,34215,28.78067,-19.51184
s139,34213,28.78067,-19.51184
s139,34218,28.78067,-19.51184
s139,34219,28.78067,-19.51184
s139,34214,28.78067,-19.51184
s139,35339,28.78067,-19.51184
s139,35334,28.78067,-19.51184
s139,35335,28.78067,-19.51184
s139,35336,28.78067,-19.51184
s139,35337,28.78067,-19.51184
s139,35330,28.78067,-19.51184
s139,35331,28.78067,-19.51184
s139,35332,28.78067,-19.51184
s140,12231,28.79452,-19.52685
s140,12232,28.79452,-19.52685
s140,12236,28.79452,-19.52685
s140,12238,28.79452,-19.52685
s140,35551,28.79452,-19.52685
s140,35556,28.79452,-19.52685
s140,35550,28.79452,-19.52685
s140,35552,28.79452,-19.52685
s140,35557,28.79452,-19.52685
s140,35555,28.79452,-19.52685
s140,35553,28.79452,-19.52685
s140,35558,28.79452,-19.52685
s140,35559,28.79452,-19.52685
s141,20461,28.96289,-19.082340000000002
s141,20462,28.96289,-19.082340000000002
s141,20463,28.96289,-19.082340000000002
s141,20468,28.96289,-19.082340000000002
s142,20421,29.136028,-19.063028
s142,20422,29.136028,-19.063028
s142,20423,29.136028,-19.063028
s143,22211,29.90818,-19.961341
s143,22212,29.90818,-19.961341
s143,22213,29.90818,-19.961341
s143,22214,29.90818,-19.961341
s144,22411,30.89588,-19.95853
s144,22412,30.89588,-19.95853
s144,22413,30.89588,-19.95853
s145,20411,29.491834,-19.320911000000002
s145,20412,29.491834,-19.320911000000002
s145,20413,29.491834,-19.320911000000002
s145,35701,29.491834,-19.320911000000002
s145,35702,29.491834,-19.320911000000002
s145,35703,29.491834,-19.320911000000002
s146,14101,28.729100000000003,-19.56536
s146,14102,28.729100000000003,-19.56536
s146,14103,28.729100000000003,-19.56536
s146,34781,28.729100000000003,-19.56536
s146,34786,28.729100000000003,-19.56536
s146,34780,28.729100000000003,-19.56536
s146,34782,28.729100000000003,-19.56536
s146,34787,28.729100000000003,-19.56536
s146,34785,28.729100000000003,-19.56536
s146,34783,28.729100000000003,-19.56536
s146,34788,28.729100000000003,-19.56536
s146,34789,28.729100000000003,-19.56536
s147,20391,29.24344,-19.510268
